Dvoyna s peresecheniyami bez probelov
 2507;63;22;52;25;4145;0;0;2;3028;0;131;380;171;1583;3552;271;66;128;63;1443;20;2;19;33;5;2;0;1164;118;8;6;462;6581;
 9469;3;26;172;513;8223;0;27;53;7751;0;317;2;4;2952;8882;7;46;878;1190;2777;95;17;363;166;14;61;8;3775;866;1;151;1500;2846;
 20;3124;6355;4135;4311;1788;0;1625;1431;840;3681;2195;6149;4892;6252;286;1336;5126;6040;6059;95;194;518;182;1497;667;267;0;0;0;191;219;731;16324;
 1678;0;0;0;0;2259;0;0;0;971;0;70;1268;3;146;9029;78;5778;29;109;833;6;1;7;21;4;0;0;417;58;0;14;305;149;
 7956;66;531;184;272;5996;0;306;31;4241;0;372;95;453;1017;7528;106;84;262;975;2606;19;236;69;95;204;31;0;1480;383;8;103;863;873;
 2114;49;1473;35;156;3288;0;45;13;1675;0;3531;2522;769;1054;2832;1765;303;1235;9957;1056;101;186;39;293;94;1;12;319;3020;14;184;4025;2419;
 5553;49;2202;13;127;4696;0;2;8;4203;0;727;167;102;1189;10364;187;3395;1304;90;1430;25;19;61;77;25;13;3;1530;4460;13;46;509;4963;
 84;763;483;796;1454;180;0;1060;376;90;54;872;2327;804;389;8;709;612;1311;1455;12;27;372;26;755;492;325;0;0;0;20;1098;70;4898;
 243;0;0;0;0;217;0;0;0;274;0;1;61;6;2;389;0;102;4;17;65;8;0;0;0;2;0;0;18;0;0;1;1;26;
 363;0;204;1;6;176;0;0;0;515;0;6;118;67;342;1741;5;221;104;40;101;2;4;0;2;11;0;1;0;3;3;0;7;3662;
 810;0;75;1;5;911;0;0;2;605;0;24;2;5;2;192;2;2;3;5;113;0;0;4;0;2;0;0;214;0;0;0;2;394;
 1702;0;8;0;0;3298;0;1;0;1360;0;294;27;0;929;61;1;5;3;2266;413;0;2;0;4;55;0;0;0;223;0;0;0;117;
 693;11;53;0;0;1880;0;0;0;1559;0;373;453;13;245;170;24;217;3;103;248;0;1;12;0;4;0;0;0;392;0;5;2;63;
 438;0;0;0;0;1526;0;0;0;854;0;0;0;0;52;8;0;4;1;0;178;0;0;0;0;0;0;0;0;41;0;0;0;10;
 0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;70;0;
 3;248;852;119;90;1503;0;35;77;18;1409;136;1567;1095;138;6;133;301;674;635;5;1;1290;33;141;445;12;0;0;0;3;0;29;4622;
 1;50;47;30;91;261;0;1;163;30;0;841;11;212;1215;48;46;2;830;254;5;76;2;103;33;546;27;0;0;0;2;420;264;8971;
 0;6;28;5;34;0;0;0;11;0;19;174;72;43;72;1;31;47;29;1856;0;14;22;0;0;15;0;0;0;0;6;0;0;7;
 2;199;7;33;315;1;0;57;27;15;7;53;12;61;55;4;6;75;150;653;1;0;7;21;203;20;514;0;0;0;1;46;10;2396;
