Dvoyna bez peresecheniy bez probelov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;à;á;â;ã;ä;å;¸;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;ú;û;ü;ý;þ;ÿ;;
 ô;0,000089;0,000004;0,000009;0,000001;0;0,000154;0;0;0;0,00035;0;0,000001;0,000028;0,000003;0,000003;0,000123;0,000001;0,000166;0,000015;0,000018;0,000035;0,000007;0;0;0,000001;0;0;0;0,000005;0,000053;0;0,000003;0,000001;#Í/Ä;
 õ;0,000995;0,000117;0,000413;0,000089;0,000193;0,000095;0;0,000045;0,000072;0,00041;0;0,000193;0,000236;0,00019;0,000424;0,002884;0,000352;0,000178;0,000413;0,00012;0,000238;0,000015;0,000023;0,000014;0,000063;0,000028;0,000001;0,000001;0;0;0,000023;0,000003;0,000038;#Í/Ä;
 ö;0,000606;0,000012;0,000077;0,000007;0,000009;0,00082;0;0;0,000007;0,000236;0;0,000108;0;0,000009;0,000023;0,000343;0,000023;0,000003;0,000026;0,000009;0,00025;0;0,000005;0,000014;0,000005;0,000003;0;0;0,000188;0;0,000001;0;0,000001;#Í/Ä;
 ÷;0,002537;0,000026;0,000104;0,000019;0,000041;0,003961;0;0,000005;0,000041;0,001603;0;0,000414;0,000061;0,000018;0,000691;0,00013;0,000108;0,000089;0,000084;0,005137;0,001085;0;0,000009;0;0,00002;0,000207;0;0;0;0,000193;0,000005;0;0,000015;#Í/Ä;
 ø;0,00108;0,000007;0,000119;0,000004;0,000001;0,002677;0;0,000001;0;0,001863;0;0,000425;0,000609;0,000015;0,000444;0,000342;0,000015;0,000039;0,000005;0,00009;0,000328;0;0,000003;0,000004;0,000003;0,000005;0;0;0;0,000578;0,000001;0,000003;0,000005;#Í/Ä;
 ù;0,000363;0,000001;0,000003;0;0;0,001559;0;0;0;0,000859;0;0;0,000003;0;0,000043;0,000001;0,000001;0,000004;0,000001;0;0,000095;0;0;0;0;0;0;0;0;0,000026;0;0;0;#Í/Ä;
 ú;0;0;0;0;0;0,000135;0;0,000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000011;0,000149;#Í/Ä;
 û;0,000076;0,000832;0,001617;0,000197;0,000408;0,001303;0;0,000101;0,000286;0,000421;0,001484;0,00042;0,00309;0,001551;0,001033;0,000315;0,000674;0,0004;0,001357;0,001017;0,000108;0,000012;0,001094;0,000011;0,000321;0,000525;0,000005;0;0;0;0,000065;0;0,000059;#Í/Ä;
 ü;0,000155;0,000421;0,00122;0,00025;0,000506;0,001212;0;0,000101;0,000533;0,001362;0;0,002132;0,000239;0,000664;0,002533;0,001007;0,000984;0,000257;0,002259;0,000705;0,00029;0,000032;0,000104;0,00013;0,000697;0,000579;0,000024;0;0;0;0,000301;0,000443;0,000707;#Í/Ä;
 ý;0;0;0,000004;0,000004;0,000003;0;0;0;0,000004;0;0,000009;0,000055;0,000046;0,000001;0,000035;0;0,000003;0,000011;0,000005;0,003379;0;0;0,000007;0;0;0;0;0;0;0;0;0;0;#Í/Ä;
 þ;0,0001;0,000802;0,000267;0,000108;0,000463;0,000111;0;0,000146;0,000088;0,000355;0,000001;0,000288;0,000115;0,00017;0,000373;0,000308;0,000302;0,000189;0,000587;0,000493;0,000123;0,000032;0,000039;0,000022;0,000252;0,000072;0,00045;0;0;0;0,000066;0,000043;0,000055;#Í/Ä;
 ÿ;0,000302;0,000549;0,001477;0,000586;0,001191;0,000537;0;0,00051;0,000716;0,001084;0,000115;0,000907;0,001257;0,000767;0,002664;0,000867;0,001191;0,000351;0,002274;0,002257;0,0003;0,000024;0,000333;0,000066;0,000571;0,000085;0,000271;0;0;0;0,000178;0,000117;0,000305;#Í/Ä;
;à;á;â;ã;ä;å;¸;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;ú;û;ü;ý;þ;ÿ;;
 à;0,000495;0,001531;0,005613;0,001186;0,003626;0,002102;0;0,001525;0,005413;0,001574;0,000693;0,006315;0,011985;0,003715;0,007431;0,001995;0,002515;0,003121;0,006408;0,005992;0,000591;0,000303;0,001162;0,000176;0,001631;0,000903;0,000282;0;0;0;0,000404;0,001085;0,003185;0,017042;ÒÎ
 á;0,001003;0,000003;0,000107;0,00001;0,000041;0,00244;0;0,000006;0,000004;0,000963;0;0,000284;0,000913;0,000069;0,000402;0,002456;0,000009;0,001331;0,000111;0,000014;0,001205;0;0,000068;0,000007;0,000008;0,00001;0,000256;0,000129;0,004785;0,000021;0,000101;0,000005;0,00061;#Í/Ä;
 â;0,006556;0,000181;0,000365;0,000292;0,000758;0,005346;0;0,000057;0,000749;0,005468;0;0,00072;0,001008;0,00039;0,001979;0,00862;0,000863;0,001399;0,004746;0,000707;0,000901;0,000016;0,0001;0,000049;0,000268;0,001319;0,000011;0,000005;0,002887;0,000225;0,000282;0,000004;0,00036;#Í/Ä;
